; MissableObjects for hide/show indexes in flag wMissableObjects
0x00    HS_PALLET_TOWN_OAK
0x01    HS_LYING_OLD_MAN
0x02    HS_OLD_MAN
0x03    HS_MUSEUM_GUY
0x04    HS_GYM_GUY
0x05    HS_CERULEAN_RIVAL
0x06    HS_CERULEAN_ROCKET
0x07    HS_CERULEAN_GUARD_1
0x08    HS_CERULEAN_CAVE_GUY
0x09    HS_CERULEAN_GUARD_2
0x0A    HS_SAFFRON_CITY_1
0x0B    HS_SAFFRON_CITY_2
0x0C    HS_SAFFRON_CITY_3
0x0D    HS_SAFFRON_CITY_4
0x0E    HS_SAFFRON_CITY_5
0x0F    HS_SAFFRON_CITY_6
0x10    HS_SAFFRON_CITY_7
0x11    HS_SAFFRON_CITY_8
0x12    HS_SAFFRON_CITY_9
0x13    HS_SAFFRON_CITY_A
0x14    HS_SAFFRON_CITY_B
0x15    HS_SAFFRON_CITY_C
0x16    HS_SAFFRON_CITY_D
0x17    HS_SAFFRON_CITY_E
0x18    HS_SAFFRON_CITY_F
0x19    HS_ROUTE_2_ITEM_1
0x1A    HS_ROUTE_2_ITEM_2
0x1B    HS_ROUTE_4_ITEM
0x1C    HS_ROUTE_9_ITEM
0x1D    HS_ROUTE_12_SNORLAX
0x1E    HS_ROUTE_12_ITEM_1
0x1F    HS_ROUTE_12_ITEM_2
0x20    HS_ROUTE_15_ITEM
0x21    HS_ROUTE_16_SNORLAX
0x22    HS_ROUTE_22_RIVAL_1
0x23    HS_ROUTE_22_RIVAL_2
0x24    HS_NUGGET_BRIDGE_GUY
0x25    HS_ROUTE_24_ITEM
0x26    HS_ROUTE_25_ITEM
0x27    HS_DAISY_SITTING
0x28    HS_DAISY_WALKING
0x29    HS_TOWN_MAP
0x2A    HS_OAKS_LAB_RIVAL
0x2B    HS_STARTER_BALL_1
0x2C    HS_STARTER_BALL_2
0x2D    HS_STARTER_BALL_3
0x2E    HS_OAKS_LAB_OAK_1
0x2F    HS_POKEDEX_1
0x30    HS_POKEDEX_2
0x31    HS_OAKS_LAB_OAK_2
0x32    HS_VIRIDIAN_GYM_GIOVANNI
0x33    HS_VIRIDIAN_GYM_ITEM
0x34    HS_OLD_AMBER
0x35    HS_CERULEAN_CAVE_1F_ITEM_1
0x36    HS_CERULEAN_CAVE_1F_ITEM_2
0x37    HS_CERULEAN_CAVE_1F_ITEM_3
0x38    HS_POKEMON_TOWER_2F_RIVAL
0x39    HS_POKEMON_TOWER_3F_ITEM
0x3A    HS_POKEMON_TOWER_4F_ITEM_1
0x3B    HS_POKEMON_TOWER_4F_ITEM_2
0x3C    HS_POKEMON_TOWER_4F_ITEM_3
0x3D    HS_POKEMON_TOWER_5F_ITEM
0x3E    HS_POKEMON_TOWER_6F_ITEM_1
0x3F    HS_POKEMON_TOWER_6F_ITEM_2
0x40    HS_POKEMON_TOWER_7F_ROCKET_1
0x41    HS_POKEMON_TOWER_7F_ROCKET_2
0x42    HS_POKEMON_TOWER_7F_ROCKET_3
0x43    HS_POKEMON_TOWER_7F_MR_FUJI
0x44    HS_MR_FUJIS_HOUSE_MR_FUJI
0x45    HS_CELADON_MANSION_EEVEE_GIFT
0x46    HS_GAME_CORNER_ROCKET
0x47    HS_WARDENS_HOUSE_ITEM
0x48    HS_POKEMON_MANSION_1F_ITEM_1
0x49    HS_POKEMON_MANSION_1F_ITEM_2
0x4A    HS_FIGHTING_DOJO_GIFT_1
