; Temporary Flags
; These temporary flags are are cleared every time a map is loaded. They are used
; for things like shortening an NPCs introduction text if the player already spoke
; to them once.
0x000	TEMP_FLAGS_START
0x001	FLAG_TEMP_1
0x002	FLAG_TEMP_2
0x003	FLAG_TEMP_3
0x004	FLAG_TEMP_4
0x005	FLAG_TEMP_5 ; Unused Flag
0x006	FLAG_TEMP_6 ; Unused Flag
0x007	FLAG_TEMP_7 ; Unused Flag
0x008	FLAG_TEMP_8 ; Unused Flag
0x009	FLAG_TEMP_9 ; Unused Flag
0x00A	FLAG_TEMP_A ; Unused Flag
0x00B	FLAG_TEMP_B ; Unused Flag
0x00C	FLAG_TEMP_C ; Unused Flag
0x00D	FLAG_TEMP_D ; Unused Flag
0x00E	FLAG_TEMP_E ; Unused Flag
0x00F	FLAG_TEMP_F ; Unused Flag
0x010	FLAG_TEMP_10 ; Unused Flag
0x011	FLAG_TEMP_11
0x012	FLAG_TEMP_12
0x013	FLAG_TEMP_13
0x014	FLAG_TEMP_14
0x015	FLAG_TEMP_15
0x016	FLAG_TEMP_16
0x017	FLAG_TEMP_17
0x018	FLAG_TEMP_18
0x019	FLAG_TEMP_19
0x01A	FLAG_TEMP_1A
0x01B	FLAG_TEMP_1B
0x01C	FLAG_TEMP_1C
0x01D	FLAG_TEMP_1D
0x01E	FLAG_TEMP_1E
0x01F	FLAG_TEMP_1F
0x01F	TEMP_FLAGS_END

0x020	FLAG_UNUSED_0x020 ; Unused Flag
0x021	FLAG_UNUSED_0x021 ; Unused Flag
0x022	FLAG_UNUSED_0x022 ; Unused Flag
0x023	FLAG_UNUSED_0x023 ; Unused Flag
0x024	FLAG_UNUSED_0x024 ; Unused Flag
0x025	FLAG_UNUSED_0x025 ; Unused Flag
0x026	FLAG_UNUSED_0x026 ; Unused Flag
0x027	FLAG_UNUSED_0x027 ; Unused Flag
0x028	FLAG_UNUSED_0x028 ; Unused Flag
0x029	FLAG_UNUSED_0x029 ; Unused Flag
0x02A	FLAG_UNUSED_0x02A ; Unused Flag
0x02B	FLAG_UNUSED_0x02B ; Unused Flag
0x02C	FLAG_UNUSED_0x02C ; Unused Flag
