0x001	FLAG_TEMP_1
0x002	FLAG_TEMP_2
0x003	FLAG_TEMP_3
0x004	FLAG_TEMP_4
0x005	FLAG_TEMP_5
0x006	FLAG_TEMP_6
0x007	FLAG_TEMP_7
0x008	FLAG_TEMP_8
0x009	FLAG_TEMP_9
0x00A	FLAG_TEMP_A
0x00B	FLAG_TEMP_B
0x00C	FLAG_TEMP_C
0x00D	FLAG_TEMP_D
0x00E	FLAG_TEMP_E
0x00F	FLAG_TEMP_F
0x010	FLAG_TEMP_10
0x011	FLAG_TEMP_11
0x012	FLAG_TEMP_12
0x013	FLAG_TEMP_13
0x014	FLAG_TEMP_14
0x015	FLAG_TEMP_15
0x016	FLAG_TEMP_16
0x017	FLAG_TEMP_17
0x018	FLAG_TEMP_18
0x019	FLAG_TEMP_19
0x01A	FLAG_TEMP_1A
0x01B	FLAG_TEMP_1B
0x01C	FLAG_TEMP_1C
0x01D	FLAG_TEMP_1D
0x01E	FLAG_TEMP_1E
0x01F	FLAG_TEMP_1F

0x020	FLAG_0x020
0x021	FLAG_0x021
0x022	FLAG_0x022
0x023	FLAG_0x023
0x024	FLAG_0x024
0x025	FLAG_0x025
0x026	FLAG_0x026
0x027	FLAG_0x027

; Hide/show flags
0x028	FLAG_HIDE_BULBASAUR_BALL
0x029	FLAG_HIDE_SQUIRTLE_BALL
0x02A	FLAG_HIDE_CHARMANDER_BALL
0x02B	FLAG_HIDE_OAK_IN_HIS_LAB
0x02C	FLAG_HIDE_OAK_IN_PALLET_TOWN
0x02D	FLAG_HIDE_RIVAL_IN_LAB
0x02E	FLAG_HIDE_PEWTER_CITY_GYM_GUIDE
0x02F	FLAG_HIDE_DOME_FOSSIL
0x030	FLAG_HIDE_HELIX_FOSSIL
0x031	FLAG_HIDE_NUGGET_BRIDGE_ROCKET
0x032	FLAG_HIDE_BILL_CLEFAIRY
0x033	FLAG_HIDE_BILL_HUMAN_SEA_COTTAGE
0x034	FLAG_HIDE_TOWER_FUJI
0x035	FLAG_HIDE_POKEHOUSE_FUJI
0x036	FLAG_HIDE_LIFT_KEY
0x037	FLAG_HIDE_SILPH_SCOPE
0x038	FLAG_HIDE_HIDEOUT_GIOVANNI
0x039	FLAG_HIDE_TOWN_MAP
0x03A	FLAG_HIDE_POKEDEX
0x03B	FLAG_HIDE_CERULEAN_ROCKET
0x03C	FLAG_HIDE_CERULEAN_RIVAL
0x03D	FLAG_HIDE_SS_ANNE_RIVAL
0x03E	FLAG_HIDE_SAFFRON_ROCKETS
0x03F	FLAG_HIDE_SAFFRON_CIVILIANS
0x040	FLAG_HIDE_SEAFOAM_1F_BOULDER_1
0x041	FLAG_HIDE_SEAFOAM_1F_BOULDER_2
0x042	FLAG_HIDE_SEAFOAM_B1F_BOULDER_1
0x043	FLAG_HIDE_SEAFOAM_B1F_BOULDER_2
0x044	FLAG_HIDE_SEAFOAM_B2F_BOULDER_1
0x045	FLAG_HIDE_SEAFOAM_B2F_BOULDER_2
0x046	FLAG_HIDE_SEAFOAM_B3F_BOULDER_1
0x047	FLAG_HIDE_SEAFOAM_B3F_BOULDER_2
0x048	FLAG_HIDE_SEAFOAM_B3F_BOULDER_3
0x049	FLAG_HIDE_SEAFOAM_B3F_BOULDER_4
0x04A	FLAG_HIDE_SEAFOAM_B3F_BOULDER_5
0x04B	FLAG_HIDE_SEAFOAM_B3F_BOULDER_6
0x04C	FLAG_HIDE_SEAFOAM_B4F_BOULDER_1
0x04D	FLAG_HIDE_SEAFOAM_B4F_BOULDER_2
0x04E	FLAG_HIDE_SILPH_RIVAL
0x04F	FLAG_HIDE_ROUTE_22_RIVAL
0x050	FLAG_HIDE_PEWTER_MUSEUM_GUIDE
0x051	FLAG_HIDE_TOWER_RIVAL
0x052	FLAG_HIDE_MOLTRES
0x053	FLAG_HIDE_SILPH_ROCKETS
0x054	FLAG_HIDE_ROUTE_12_SNORLAX
0x055	FLAG_HIDE_VIRIDIAN_GIOVANNI
0x056	FLAG_HIDE_OLD_AMBER
0x057	FLAG_HIDE_EEVEE_BALL
0x058	FLAG_HIDE_VICTORY_ROAD_2F_BOULDER
0x059	FLAG_HIDE_VICTORY_ROAD_3F_BOULDER
0x05A	FLAG_HIDE_OAK_IN_CHAMP_ROOM
0x05B	FLAG_HIDE_GAME_CORNER_ROCKET
0x05C	FLAG_HIDE_CERULEAN_CAVE_GUARD
0x05D	FLAG_HIDE_ZAPDOS
0x05E	FLAG_HIDE_TOWER_ROCKET_1
0x05F	FLAG_HIDE_CELADON_ROCKETS
0x060	FLAG_HIDE_DOJO_HITMONLEE_BALL
0x061	FLAG_HIDE_DOJO_HITMONCHAN_BALL
0x062	FLAG_HIDE_CINNABAR_BILL
0x063	FLAG_HIDE_UNION_ROOM_PLAYER_1
0x064	FLAG_HIDE_UNION_ROOM_PLAYER_2
0x065	FLAG_HIDE_UNION_ROOM_PLAYER_3
0x066	FLAG_HIDE_UNION_ROOM_PLAYER_4
0x067	FLAG_HIDE_UNION_ROOM_PLAYER_5
0x068	FLAG_HIDE_UNION_ROOM_PLAYER_6
0x069	FLAG_HIDE_UNION_ROOM_PLAYER_7
0x06A	FLAG_HIDE_UNION_ROOM_PLAYER_8
0x06B	FLAG_HIDE_CINNABAR_SEAGALLOP
0x06C	FLAG_HIDE_SAFFRON_FAN_CLUB_BLACKBELT
0x06D	FLAG_HIDE_SAFFRON_FAN_CLUB_ROCKER
0x06E	FLAG_HIDE_SAFFRON_FAN_CLUB_WOMAN
0x06F	FLAG_HIDE_SAFFRON_FAN_CLUB_BEAUTY
0x070	FLAG_HIDE_MG_DELIVERYMEN
0x071	FLAG_HIDE_ONE_ISLAND_BILL
0x072	FLAG_HIDE_ONE_ISLAND_POKECENTER_BILL
0x073	FLAG_HIDE_ONE_ISLAND_POKECENTER_CELIO
0x074	FLAG_HIDE_TWO_ISLAND_GAME_CORNER_BIKER
0x075	FLAG_HIDE_TWO_ISLAND_GAME_CORNER_LOSTELLE
0x076	FLAG_HIDE_LOSTELLE_IN_HER_HOME
0x077	FLAG_0x077
0x078	FLAG_0x078
0x079	FLAG_HIDE_THREE_ISLAND_BIKERS
0x07A	FLAG_HIDE_LOSTELLE_IN_BERRY_FOREST
0x07B	FLAG_HIDE_TWO_ISLAND_WOMAN
0x07C	FLAG_HIDE_TWO_ISLAND_BEAUTY
0x07D	FLAG_HIDE_TWO_ISLAND_SUPER_NERD
0x07E	FLAG_HIDE_THREE_ISLAND_ANTIBIKERS
0x07F	FLAG_0x07F
0x080	FLAG_HIDE_ROUTE_16_SNORLAX
0x081	FLAG_HIDE_MEWTWO
0x082	FLAG_HIDE_ARTICUNO
0x083	FLAG_HIDE_TOWER_ROCKET_2
0x084	FLAG_HIDE_TOWER_ROCKET_3
0x085	FLAG_HIDE_POWER_PLANT_ELECTRODE_1
0x086	FLAG_HIDE_POWER_PLANT_ELECTRODE_2
0x087	FLAG_HIDE_SS_ANNE
0x088	FLAG_HIDE_FIVE_ISLAND_ROCKETS
0x089	FLAG_HIDE_MT_EMBER_EXTERIOR_ROCKETS
0x08A	FLAG_HIDE_RUBY
0x08B	FLAG_HIDE_ICEFALL_CAVE_LORELEI
0x08C	FLAG_HIDE_LORELEI_IN_HER_HOUSE
0x08D	FLAG_HIDE_ICEFALL_CAVE_ROCKETS
0x08E	FLAG_HIDE_RUIN_VALLEY_SCIENTIST
0x08F	FLAG_HIDE_SAPPHIRE
0x090	FLAG_HIDE_DOTTED_HOLE_SCIENTIST
0x091	FLAG_HIDE_THREE_ISLAND_LONE_BIKER
0x092	FLAG_HIDE_PEWTER_CITY_RUNNING_SHOES_GUY
0x093	FLAG_HIDE_LOST_CAVE_SELPHY
0x094	FLAG_HIDE_RESORT_GORGEOUS_SELPHY
0x095	FLAG_HIDE_RESORT_GORGEOUS_INSIDE_SELPHY
0x096	FLAG_HIDE_SELPHYS_BUTLER
0x097	FLAG_HIDE_FOUR_ISLAND_RIVAL
0x098	FLAG_HIDE_SIX_ISLAND_POKECENTER_RIVAL
0x099	FLAG_HIDE_DEOXYS
0x09A	FLAG_HIDE_BIRTH_ISLAND_METEORITE
0x09B	FLAG_HIDE_LUGIA
0x09C	FLAG_HIDE_HO_OH
0x09D	FLAG_HIDE_POSTGAME_GOSSIPERS
0x09E	FLAG_HIDE_FAME_CHECKER_ERIKA_JOURNALS
0x09F	FLAG_HIDE_FAME_CHECKER_KOGA_JOURNAL
0x0A0	FLAG_HIDE_FAME_CHECKER_LT_SURGE_JOURNAL
0x0A1	FLAG_HIDE_VERMILION_CITY_OAKS_AIDE
0x0A2	FLAG_HIDE_CINNABAR_POKECENTER_BILL
0x0A3	FLAG_HIDE_CREDITS_RIVAL
0x0A4	FLAG_HIDE_CREDITS_OAK
0x0A5	FLAG_HIDE_LORELEI_HOUSE_MEOWTH_DOLL
0x0A6	FLAG_HIDE_LORELEI_HOUSE_CHANSEY_DOLL
0x0A7	FLAG_HIDE_LORELEIS_HOUSE_NIDORAN_F_DOLL
0x0A8	FLAG_HIDE_LORELEI_HOUSE_JIGGLYPUFF_DOLL
0x0A9	FLAG_HIDE_LORELEIS_HOUSE_NIDORAN_M_DOLL
0x0AA	FLAG_HIDE_LORELEIS_HOUSE_FEAROW_DOLL
0x0AB	FLAG_HIDE_LORELEIS_HOUSE_PIDGEOT_DOLL
0x0AC	FLAG_HIDE_LORELEIS_HOUSE_LAPRAS_DOLL
0x0AD	FLAG_HIDE_MISC_KANTO_ROCKETS
0x0AE	FLAG_HIDE_SAFFRON_CITY_POKECENTER_SABRINA_JOURNALS

; Unused?
0x0AF	FLAG_0x0AF
0x0B0	FLAG_0x0B0
0x0B1	FLAG_0x0B1
0x0B2	FLAG_0x0B2
0x0B3	FLAG_0x0B3
0x0B4	FLAG_0x0B4
0x0B5	FLAG_0x0B5
0x0B6	FLAG_0x0B6
0x0B7	FLAG_0x0B7
0x0B8	FLAG_0x0B8
0x0B9	FLAG_0x0B9
0x0BA	FLAG_0x0BA
0x0BB	FLAG_0x0BB
0x0BC	FLAG_0x0BC
0x0BD	FLAG_0x0BD
0x0BE	FLAG_0x0BE
0x0BF	FLAG_0x0BF
0x0C0	FLAG_0x0C0
0x0C1	FLAG_0x0C1
0x0C2	FLAG_0x0C2
0x0C3	FLAG_0x0C3
0x0C4	FLAG_0x0C4
0x0C5	FLAG_0x0C5
0x0C6	FLAG_0x0C6
0x0C7	FLAG_0x0C7
0x0C8	FLAG_0x0C8
0x0C9	FLAG_0x0C9
0x0CA	FLAG_0x0CA
0x0CB	FLAG_0x0CB
0x0CC	FLAG_0x0CC
0x0CD	FLAG_0x0CD
0x0CE	FLAG_0x0CE
0x0CF	FLAG_0x0CF
0x0D0	FLAG_0x0D0
0x0D1	FLAG_0x0D1
