; temporary flags
; These temporary flags are are cleared every time a map is loaded. They are used
; for things like shortening an NPCs introduction text if the player already spoke
; to them once.
0x01	FLAG_TEMP_1
0x02	FLAG_TEMP_2
0x03	FLAG_TEMP_3
0x04	FLAG_TEMP_4
0x05	FLAG_TEMP_5
0x06	FLAG_TEMP_6
0x07	FLAG_TEMP_7
0x08	FLAG_TEMP_8
0x09	FLAG_TEMP_9
0x0A	FLAG_TEMP_A
0x0B	FLAG_TEMP_B
0x0C	FLAG_TEMP_C
0x0D	FLAG_TEMP_D
0x0E	FLAG_TEMP_E
0x0F	FLAG_TEMP_F
0x010	FLAG_TEMP_10
0x011	FLAG_TEMP_11
0x012	FLAG_TEMP_12
0x013	FLAG_TEMP_13
0x014	FLAG_TEMP_14
0x015	FLAG_TEMP_15
0x016	FLAG_TEMP_16
0x017	FLAG_TEMP_17
0x018	FLAG_TEMP_18
0x019	FLAG_TEMP_19
0x01A	FLAG_TEMP_1A
0x01B	FLAG_TEMP_1B
0x01C	FLAG_TEMP_1C
0x01D	FLAG_TEMP_1D
0x01E	FLAG_TEMP_1E
0x01F	FLAG_TEMP_1F

0x020	FLAG_TEMP_20
0x020	FLAG_VICTORY_ROAD_ROCK

0x051	FLAG_SET_WALL_CLOCK
0x052	FLAG_RESCUED_BIRCH

0x056	FLAG_LINK_CONTEST_ROOM_POKEBALL
0x057	FLAG_MET_RIVAL_MOM
0x058	FLAG_BIRCH_AIDE_MET
0x059	FLAG_DECLINED_BIKE
0x05A	FLAG_RECEIVED_BIKE

0x05E	FLAG_RECEIVED_WAILMER_PAIL
0x05F	FLAG_RECEIVED_POKEBLOCK_CASE
0x060	FLAG_RECEIVED_SECRET_POWER

0x062	FLAG_TV_EXPLAINED
0x063	FLAG_MAUVILLE_GYM_BARRIERS_STATE
0x064	FLAG_MOSSDEEP_GYM_SWITCH_1
0x065	FLAG_MOSSDEEP_GYM_SWITCH_2
0x066	FLAG_MOSSDEEP_GYM_SWITCH_3
0x067	FLAG_MOSSDEEP_GYM_SWITCH_4

0x069	FLAG_OCEANIC_MUSEUM_MET_REPORTER
0x06A	FLAG_RECEIVED_HM04
0x06B	FLAG_RECEIVED_HM06

0x06D	FLAG_RECEIVED_HM05
0x06E	FLAG_RECEIVED_HM02
0x06F	FLAG_MT_PYRE_ORB_STOLEN
0x070	FLAG_EVIL_TEAM_ESCAPED_IN_SUBMARINE
0x071	FLAG_LEGENDARY_BATTLE_COMPLETED	; defeated or caught Groudon/Kyogre in Cave of Origin

0x073	FLAG_RECEIVED_METEORITE
0x074	FLAG_ADVENTURE_STARTED	; received pokedex and set loose

0x076	FLAG_MET_HIDDEN_POWER_GIVER

0x079	FLAG_RECEIVED_TM31
0x07A	FLAG_RECEIVED_HM03
0x07B	FLAG_RECEIVED_HM08

0x07E	FLAG_DEFEATED_WALLY_VICTORY_ROAD
0x07F	FLAG_MET_PRETTY_PETAL_SHOP_OWNER

0x081	FLAG_LEGEND_ESCAPED_SEAFLOOR_CAVERN
0x082	FLAG_DEFEATED_RIVAL_ROUTE103
0x083	FLAG_RECEIVED_DOLL_LANETTE
0x084	FLAG_RECEIVED_POTION_OLDALE
0x085	FLAG_RECEIVED_AMULET_COIN
0x086	FLAG_PENDING_DAYCARE_EGG
0x087	FLAG_THANKED_FOR_PLAYING_WITH_WALLY

0x089	FLAG_RECEIVED_HM01

0x08B	FLAG_DEFEATED_EVIL_TEAM_MT_CHIMNEY
0x08C	FLAG_RECEIVED_6_SODA_POP
0x08D	FLAG_DEFEATED_SEASHORE_HOUSE_TRAINERS
0x08E	FLAG_DEVON_GOODS_STOLEN
0x08F	FLAG_RECOVERED_DEVON_GOODS
0x090	FLAG_RETURNED_DEVON_GOODS

0x093	FLAG_MR_BRINEY_SAILING_INTRO
0x094	FLAG_DOCK_REJECTED_DEVON_GOODS
0x095	FLAG_DELIVERED_DEVON_GOODS
0x096	FLAG_RECEIVED_CONTEST_PASS
0x097	FLAG_RECEIVED_CASTFORM
0x098	FLAG_RECEIVED_SUPER_ROD
0x099	FLAG_RUSTBORO_NPC_TRADE_COMPLETED
0x09A	FLAG_PACIFIDLOG_NPC_TRADE_COMPLETED
0x09B	FLAG_FORTREE_NPC_TRADE_COMPLETED

0x09F	FLAG_UNKNOWN_9F
0x0A0	FLAG_COOL_PAINTING_MADE
0x0A1	FLAG_BEAUTY_PAINTING_MADE
0x0A2	FLAG_CUTE_PAINTING_MADE
0x0A3	FLAG_SMART_PAINTING_MADE
0x0A4	FLAG_TOUGH_PAINTING_MADE
0x0A5	FLAG_RECEIVED_TM39
0x0A6	FLAG_RECEIVED_TM08
0x0A7	FLAG_RECEIVED_TM34
0x0A8	FLAG_RECEIVED_TM50
0x0A9	FLAG_RECEIVED_TM42
0x0AA	FLAG_RECEIVED_TM40
0x0AB	FLAG_RECEIVED_TM04
0x0AC	FLAG_RECEIVED_TM03
0x0AD	FLAG_DECORATION_1
0x0AE	FLAG_DECORATION_2
0x0AF	FLAG_DECORATION_3
0x0B0	FLAG_DECORATION_4
0x0B1	FLAG_DECORATION_5
0x0B2	FLAG_DECORATION_6
0x0B3	FLAG_DECORATION_7
0x0B4	FLAG_DECORATION_8
0x0B5	FLAG_DECORATION_9
0x0B6	FLAG_DECORATION_10
