//----------------------------------------------------------------------	
//	汎用フラグ
//	(    1         -     99        )
//----------------------------------------------------------------------	
0x000	// FH_00
0x001	FH_01
0x002	FH_02
0x003	FH_03
0x004	FH_04
0x005	FH_05
0x006	FH_06
0x007	FH_07
0x008	FH_08
0x009	FH_09
0x00A	FH_10
0x00B	FH_11
0x00C	FH_12
0x00D	FH_13
0x00E	FH_14
0x00F	FH_15
0x010	FH_16
0x011	FH_17
0x012	FH_18
0x013	FH_19
0x014	FH_20
0x015	FH_21
0x016	FH_22
0x017	FH_23
0x018	FH_24
0x019	FH_25
0x01A	FH_26
0x01B	FH_27
0x01C	FH_28
0x01D	FH_29
0x01E	FH_30
0x01F	FH_31

0x020	FH_OBJ00
0x021	FH_OBJ01
0x022	FH_OBJ02
0x023	FH_OBJ03
0x024	FH_OBJ04
0x025	FH_OBJ05
0x026	FH_OBJ06
0x027	FH_OBJ07
0x028	FH_OBJ08
0x029	FH_OBJ09
0x02A	FH_OBJ10
0x02B	FH_OBJ11
0x02C	FH_OBJ12
0x02D	FH_OBJ13
0x02E	FH_OBJ14
0x02F	FH_OBJ15
0x030	FH_OBJ16
0x031	FH_OBJ17
0x032	FH_OBJ18
0x033	FH_OBJ19
0x034	FH_OBJ20
0x035	FH_OBJ21
0x036	FH_OBJ22
0x037	FH_OBJ23
0x038	FH_OBJ24
0x039	FH_OBJ25
0x03A	FH_OBJ26
0x03B	FH_OBJ27
0x03C	FH_OBJ28
0x03D	FH_OBJ29
0x03E	FH_OBJ30
0x03F	FH_OBJ31
//MAX = evwkdef.h LOCAL_FLAG_MAX	

//----------------------------------------------------------------------	
//	イベント進行制御フラグ
//	
//	(FE_FLAG_START -FV_FLAG_START)
//	(    100       -    399        )
//----------------------------------------------------------------------	
0x064	FE_TEST_01
0x065	FE_TEST_02
0x066	FE_TEST_03
0x067	FE_TEST_04
0x068	FE_TANE_GET
0x069	FE_PC_GOLD
0x06A	FE_PC_POKERUS
0x06B	FE_SUGOITURIZAO_GET
0x06C	FE_R201_KIZUGUSURI_GET
0x06D	FE_R201_TALK_PAPA
0x06E	FE_T01R0101_RIVALMAMA_TALK
0x06F	FE_SHOES_GET
0x070	FE_UNION_CHARACTER_SELECT
0x071	FE_C01_SUPPORT_GUIDE
0x072	FE_C01R0101_TRAINER_WIN
0x073	FE_SODATE_TAMAGO
0x074	FE_C04_GYM_ITEM_GET
0x075	FE_C03_GYM_ITEM_GET
0x076	FE_C04R0304_ITEM_GET
0x077	FE_C03R0204_ITEM_GET
0x078	// FE_HIDEN_01_GET
0x079	FE_TANKENSETTO_GET
0x07A	FE_D01R0102_LEADER_TALK
0x07B	// FE_D01R0102_LEADER_YES
0x07C	FE_C03R0103_ITEM_GET
0x07D	FE_C05_GYM_ITEM_GET
0x07E	FE_C01R0504_ITEM_GET
0x07F	FE_R205A_GINGAM_TALK
0x080	FE_FLOWER_ITEM_GET
0x081	FE_C04R0204_WIN
0x082	FE_CYCLE_GET
0x083	FE_T03R0301_ITEM_GET
0x084	FE_BORONOTURIZAO_GET
0x085	FE_C03R0201_POKE_CHG
0x086	FE_C04R0301_POKE_CHG
0x087	FE_T01R0201_MAMA_TALK
0x088	FE_IMAGE_CLIP
0x089	FE_C01R0202_ITEM_GET
0x08A	FE_C03_RIVAL_TALK
0x08B	FE_D03R0101_SEVEN1_TALK
0x08C	FE_C05R0102_ITEM_GET
0x08D	FE_C05R0201_ITEM_GET
0x08E	FE_INIT_CHANGE_OBJ_DEL
0x08F	FE_BOUKENNOOTO_GET
0x090	FE_ZUKAN_GET
0x091	FE_R205A_BABYGIRL1_TALK
0x092	FE_C02_GYM_ITEM_GET
0x093	FE_HIDEN_01_GET
0x094	FE_HIDEN_02_GET
0x095	FE_HIDEN_03_GET
0x096	FE_HIDEN_04_GET
0x097	FE_HIDEN_05_GET
0x098	FE_HIDEN_06_GET
0x099	FE_HIDEN_07_GET
0x09A	FE_HIDEN_08_GET
0x09B	FE_C02R0301_WASURE
0x09C	FE_C06_GYM_ITEM_GET
0x09D	FE_C07_GYM_ITEM_GET
0x09E	FE_C09_GYM_ITEM_GET
0x09F	FE_D13R0101_ITEM
0x0A0	FE_D13R0101_AMAIMITU_GET
0x0A1	FE_C02R0501_ITEM_GET
0x0A2	FE_IITURIZAO_GET
0x0A3	FE_C05GYM0101_SUNGLASSES_TALK
0x0A4	FE_ABC_CLEAR
0x0A5	FE_T05_GINGABOSS_TALK
0x0A6	FE_T05_OLDWOMAN_TALK
0x0A7	FE_FRESCO_SEE
0x0A8	FE_L02_NEWS
0x0A9	FE_D29R0101_RIVAL_TALK
0x0AA	FE_CONNECT_TSIGN_TALK
0x0AB	FE_RECONGNIZE_SHINOU
0x0AC	FE_RECONGNIZE_NATIONAL
0x0AD	FE_D26R0107_GKANBU_WIN
0x0AE	FE_D26R0107_MACHINE
0x0AF	FE_C10R0101_VETERAN
0x0B0	FE_BIGFOUR1_WIN
0x0B1	FE_BIGFOUR2_WIN
0x0B2	FE_BIGFOUR3_WIN
0x0B3	FE_BIGFOUR4_WIN
0x0B4	FE_C10R0111_CHAMP_WIN
0x0B5	FE_C08_MIKAN_TALK
0x0B6	FE_C08_GYM_ITEM_GET
0x0B7	FE_L02_CHAMP
0x0B8	FE_D27R0101_DOCTOR_TALK
0x0B9	FE_D27R0101_SUPPORT_TALK
0x0BA	FE_D27R0102_GKANBU_WIN
0x0BB	FE_CONNECT_UNION_GUIDE_TALK
0x0BC	FE_COIN_CASE_GET
0x0BD	FE_C04R0801_ASSISTANTM_TALK
0x0BE	FE_D05R0114_BLACKRING
0x0BF	FE_C01R0501_ITEM_GET
0x0C0	FE_C03R0102_ITEM_GET
0x0C1	FE_C03R0202_ITEM_GET
0x0C2	FE_C04R0302_ITEM_GET
0x0C3	FE_GTC_GUIDE_TALK
0x0C4	FE_WAZAMASIN64_GET
0x0C5	FE_WAZAMASIN78_GET
0x0C6	FE_WAZAMASIN77_GET
0x0C7	FE_WAZAMASIN51_GET
0x0C8	FE_WAZAMASIN88_GET
0x0C9	FE_WAZAMASIN48_GET
0x0CA	FE_WAZAMASIN92_GET
0x0CB	FE_WAZAMASIN42_GET
0x0CC	FE_WAZAMASIN63_GET
0x0CD	FE_WAZAMASIN66_GET
0x0CE	FE_WAZAMASIN56_GET
0x0CF	FE_WAZAMASIN11_GET
0x0D0	FE_WAZAMASIN18_GET
0x0D1	FE_WAZAMASIN37_GET
0x0D2	FE_WAZAMASIN07_GET
0x0D3	FE_P_PARK_ADMIN
0x0D4	FE_HIIDORAN_EVENT
0x0D5	FE_C11FS0101_ITEM_GET
0x0D6	FE_KAZANNOOKIISI_GET
0x0D7	FE_HIIDORAN_SEE
0x0D8	FE_T04R0301_SUNGLASSES_TALK
0x0D9	FE_R225R0101_ITEM_GET
0x0DA	FE_R229_ITEM_GET
0x0DB	FE_D16R0101_RIVAL_TALK
0x0DC	FE_T04R0301_ITEM_DEPOSIT
0x0DD	FE_D16R0102_SEVEN5_TALK
0x0DE	FE_R217R0101_ITEM_GET
0x0DF	FE_D09R0104_SEVEN4_TALK
0x0E0	FE_D21R0101_SEVEN2_TALK
0x0E1	FE_D24R0105_SEVEN3_TALK
0x0E2	FE_D24R0105_SEVEN3_POKE_MAX
0x0E3	FE_SEVEN1_CLEAR
0x0E4	FE_SEVEN2_CLEAR
0x0E5	FE_SEVEN3_CLEAR
0x0E6	FE_SEVEN4_CLEAR
0x0E7	FE_SEVEN5_CLEAR
0x0E8	FE_C07R0601_WOMAN3_TALK
0x0E9	FE_C06R0401_BIGMAN_TALK
0x0EA	FE_T01R0102_RIVAL_TALK
0x0EB	FE_C09_GYMLEADER_DEL
0x0EC	// FE_GTC_OPEN
0x0ED	FE_C01_CROWN1_TICKET
0x0EE	FE_C01_CROWN2_TICKET
0x0EF	FE_C01_CROWN3_TICKET
0x0F0	FE_GENERATE_START
0x0F1	FE_TOWNMAP_GET
0x0F2	FE_ACCE_CASE_GET
0x0F3	FE_POKETCH_GET
0x0F4	FE_C09R0101_POKE_CHG
0x0F5	FE_W226R0101_POKE_CHG
0x0F6	FE_W226R0101_ZUKAN
0x0F7	FE_C08R0201_WEEK_TALK
0x0F8	FE_T01R0201_MAMA_TALK2
0x0F9	FE_R213R0201_FOOTMARK
0x0FA	FE_T07R0101_MEMBER
0x0FB	FE_C05_EGG
0x0FC	FE_C08R0401_GOODS
0x0FD	// FE_CON_CHALLENGE
0x0FE	FE_SODATEYA_AZUKE
0x0FF	// FE_D02_FUUSEN
0x100	FE_R210BR0101_DRAGON_TALK
0x101	FE_C07_SUPPORT
0x102	FE_C06_GINGAM
0x103	FE_C06_GINGAM_2
0x104	FE_R213_GINGAM
0x105	FE_C07R0205_ITEM_GET
0x106	FE_L02_GINGAM
0x107	FE_R210A_CLEAR
0x108	FE_R228R0201_OLDMAN1_TALK
0x109	FE_C03_ITEM_GET
0x10A	FE_C03R0602_ITEM_GET
0x10B	FE_GAKUSYUUSOUCHI_GET
0x10C	FE_C01R0701_BOY_WIN
0x10D	FE_C01R0701_GIRL_WIN
0x10E	FE_C07R0301_OPEN
0x10F	FE_D02_OPEN
0x110	FE_PC_SHINOU_ZUKAN_COMP
0x111	FE_UG_MISSION_TALK
0x112	FE_C01R0701_ITEM_GET
0x113	FE_UG_MISSION_OK
0x114	FE_KUJI_ACCE_GET
0x115	FE_R202_SUPPORT_TALK
0x116	FE_R209R0105_ITEM_GET
0x117	FE_SIIRUIRE_GET
0x118	FE_R205A_BOY2_TALK
0x119	FE_C04R0601_ITEM_GET
0x11A	FE_D20R0106_LEGEND_UNSEAL
0x11B	FE_D20R0106_LEGEND_CLEAR
0x11C	FE_C06R0301_ITEM_GET
0x11D	FE_D24R0201_ITEM_GET
0x11E	FE_D05R0116_LEGEND_CLEAR
0x11F	FE_D15R0101_LEGEND_CLEAR
0x120	FE_D16R0103_LEGEND_CLEAR
0x121	FE_D17R0104_LEGEND_CLEAR
0x122	FE_D18_LEGEND_CLEAR
0x123	FE_D27R0103_LEGEND_CLEAR
0x124	FE_D16R0103_LEGEND_UNSEAL
0x125	FE_D28R0103_LEGEND_CLEAR
0x126	FE_D29R0103_LEGEND_CLEAR
0x127	FE_C06_ACCE_GET
0x128	FE_C07R0201_ACCE_GET
